最終通信日時,デバイス名,管理番号,物件名,環境,"状態
",Ver.,バッテリー,温度,音量,天気,気温,明るさ,バッテリー健全性,電流入出力,端末モデル,IMEI,ライセンス認証ステータス,再生チャンネル,ネットワーク,左上プレビュー表示,ネットワーク環境,オフライン率,SD録画保存日,SD録画保存日,設置完了日時,ブート日時,アプリ起動日時,初期設定日時
2019-11-20 08:55:37(1時間前),001268,Y4-393,グリーンサラウンドシティ,本番中,正常,3.0.20,100%,24.2℃,0%,曇,11℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030610684,正常,201909_mitsubachi-einekleine,圏外,表示,通常,97%,2019-11-17,,2019-05-16 13:48:41(6ヶ月前),2019-11-20 05:04:43(5時間前),2019-11-20 08:42:00(1時間前),2019-03-19 17:03:29(8ヶ月前)
2019-11-20 09:16:04(52分前),010418,IB-651,ルドルフ,本番中,正常,3.0.10,100%,22.7℃,20%,曇,12℃,50,良好,流出 14mAh,Lenovo TAB4 SIM,866423030712480,不正,sample_channel,3G:0本,表示,通常,0%,2019-11-17,,2019-11-15 11:01:27(4日前),2019-11-20 06:31:11(3時間前),2019-11-20 08:40:02(1時間前),2019-10-03 14:20:37(1ヶ月前)
2019-11-20 09:30:02(38分前),0076,Y3-185,リヴシティ横濱浅間台,本番中,正常,3.0.20,100%,26℃,20%,曇,11℃,50,良好,充電 244mAh,Huawei T3 10,868355032511130,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2018-09-22 05:28:00(1年前),2019-11-05 14:51:43(2週間前),2019-11-19 15:43:24(18時間前),2018-08-07 17:25:01(1年前)
2019-11-20 09:34:04(34分前),001107,Z6-465,チュリスガーデン湘南野比,本番中,正常,2.2.60,100%,26℃,20%,曇,13℃,50,良好,0,Lenovo TAB4 SIM,866423030612912,,sample_channel,圏外,表示,通常,93%,2019-11-17,,2019-04-01 10:02:13(7ヶ月前),2019-11-20 06:19:29(3時間前),2019-11-20 09:08:29(59分前),2019-03-19 11:06:52(8ヶ月前)
2019-11-20 09:34:53(33分前),000488,P-486,湯島ミハマビル,本番中,正常,3.0.20,100%,28℃,20%,曇,11℃,50,良好,流出 837mAh,Huawei T3 10,868355036543030,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,4%,2019-11-17,,2019-01-30 10:55:58(9ヶ月前),2019-11-18 04:04:59(2日前),2019-11-19 02:51:03(1日前),2018-12-04 16:12:48(11ヶ月前)
2019-11-20 09:35:51(32分前),001942,Y4-740,アトラスシンフォニア東戸塚,本番中,正常,3.0.26,100%,23.2℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030789256,未取得,201909_mitsubachi-einekleine,圏外,表示,通常,75%,2019-11-16,,2019-10-28 12:37:10(3週間前),2019-11-20 01:05:03(9時間前),2019-11-20 07:51:27(2時間前),2019-06-06 10:28:41(5ヶ月前)
2019-11-20 09:36:59(31分前),010137,F1-311,プレール・ドゥーク三宿,本番中,正常,3.0.20,100%,25℃,20%,曇,10℃,50,良好,0,Lenovo TAB4 SIM,866423030763327,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,12%,2019-11-17,,2019-08-30 17:41:29(2ヶ月前),2019-11-20 08:42:39(1時間前),2019-11-20 08:43:32(1時間前),2019-08-22 15:36:06(2ヶ月前)
2019-11-20 09:41:37(26分前),001625,NS-66,サンリヤン愛宕1丁目レジオン,本番中,正常,3.0.20,100%,22.5℃,20%,曇,8℃,50,良好,0,Lenovo TAB4 SIM,866423030676669,正常,201909_mitsubachi-einekleine,圏外,表示,通常,62%,2019-11-17,,2019-07-01 16:35:38(4ヶ月前),2019-11-20 09:16:34(51分前),2019-11-20 09:17:30(50分前),2019-04-16 14:40:37(7ヶ月前)
2019-11-20 09:42:37(25分前),001960,Y4-742,アトラスシンフォニア東戸塚,本番中,正常,3.0.26,100%,22℃,20%,,0℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030767724,未取得,201909_mitsubachi-einekleine,4G:1本,表示,通常,47%,2019-11-16,,2019-10-28 12:19:30(3週間前),2019-11-20 06:38:02(3時間前),2019-11-20 07:45:55(2時間前),2019-06-06 15:46:41(5ヶ月前)
2019-11-20 09:42:58(25分前),001258,C1-057,ウィンド月島Ⅱビル,本番中,正常,3.0.26,100%,22.5℃,40%,曇,13℃,40,良好,0,Lenovo TAB4 SIM,866423030613738,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,11%,2019-11-16,,2019-04-12 11:24:37(7ヶ月前),2019-11-20 09:28:41(39分前),2019-11-20 09:42:51(25分前),2019-03-19 16:52:45(8ヶ月前)
2019-11-20 09:45:58(22分前),001203,Y4-402,グリーンサラウンドシティ,本番中,正常,3.0.20,100%,23℃,0%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030675752,準備中,201909_mitsubachi-einekleine,4G:2本,表示,通常,36%,2019-11-17,,2019-04-03 16:15:54(7ヶ月前),2019-11-20 09:37:04(31分前),2019-11-20 09:45:51(22分前),2019-03-19 15:46:37(8ヶ月前)
2019-11-20 09:47:09(21分前),001079,R-27,プレール天王洲アイル弐番館,本番中,正常,3.0.20,100%,24℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030613068,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,5%,2019-11-17,,2019-03-27 14:38:18(7ヶ月前),2019-11-20 08:02:15(2時間前),2019-11-20 09:04:13(1時間前),2019-03-18 14:02:10(8ヶ月前)
2019-11-20 09:47:24(21分前),010512,ST5-715,ブラッケンハウス,本番中,正常,3.0.20,100%,25.2℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030717810,正常,sample_channel,4G:3本,表示,通常,6%,2019-11-17,,2019-11-01 16:03:41(2週間前),2019-11-01 15:58:52(2週間前),2019-11-10 15:21:37(1週間前),2019-10-18 13:33:46(1ヶ月前)
2019-11-20 09:47:26(20分前),010272,SI2-200,エスポワール清水相生町,本番中,正常,3.0.26,100%,27℃,40%,曇,8℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030743352,不正,201909_mitsubachi-einekleine,4G:2本,表示,通常,78%,2019-11-16,,2019-11-15 15:04:55(4日前),2019-11-20 09:33:50(34分前),2019-11-20 09:34:42(33分前),2019-09-18 11:36:15(2ヶ月前)
2019-11-20 09:47:54(20分前),001711,AN3-041,カサプラティーノ名古屋ノルテ,本番中,正常,3.0.20,100%,25.2℃,40%,曇,10℃,50,良好,流出 21mAh,Lenovo TAB4 SIM,866423030798463,不正,201909_mitsubachi-einekleine,4G:1本,表示,通常,75%,2019-11-17,,2019-05-31 15:00:51(5ヶ月前),2019-11-20 09:20:35(47分前),2019-11-20 09:21:28(46分前),2019-04-17 14:17:20(7ヶ月前)
2019-11-20 09:48:20(20分前),010674,I-269,特別養護老人ホーム  好日苑(新館),本番中,正常,3.0.26,100%,27.7℃,0%,曇,13℃,50,良好,0,Lenovo TAB4 SIM,866423030881400,不正,sample_channel,圏外,表示,通常,90%,2019-11-17,,2019-11-15 15:57:36(4日前),2019-11-20 00:38:20(9時間前),2019-11-20 03:08:41(6時間前),2019-11-05 14:29:24(2週間前)
2019-11-20 09:48:22(20分前),000813,AN-705,Virtuous  Life,本番中,正常,3.0.20,100%,20.5℃,40%,曇,10℃,50,良好,流出 5mAh,Lenovo TAB4 SIM,866423030627811,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-02-27 11:30:46(8ヶ月前),2019-11-11 15:26:23(1週間前),2019-11-16 19:48:06(3日前),2019-02-06 16:31:06(9ヶ月前)
2019-11-20 09:48:22(20分前),000265,ST-118,プラスビル,本番中,正常,3.0.20,100%,25℃,40%,曇,13℃,50,良好,流出 837mAh,Huawei T3 10,868355032512468,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2018-10-25 15:00:21(1年前),2019-11-17 14:08:12(2日前),2019-11-19 11:21:21(22時間前),2018-10-17 13:13:37(1年前)
2019-11-20 09:48:23(20分前),002010,SI2-153,グループハウス富士宮,本番中,正常,3.0.20,100%,23.7℃,0%,曇,13℃,50,良好,0,Lenovo TAB4 SIM,866423030790577,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-08-02 10:23:08(3ヶ月前),2019-11-16 17:35:12(3日前),2019-11-16 17:36:05(3日前),2019-06-17 15:59:55(5ヶ月前)
2019-11-20 09:48:23(20分前),000622,OS-935,サザンパークス,本番中,正常,3.0.20,100%,25℃,20%,曇,11℃,40,良好,流出 793mAh,Huawei T3 10,868355037432043,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-01-28 16:31:22(9ヶ月前),2019-11-16 19:10:22(3日前),2019-11-16 19:11:33(3日前),2019-01-22 10:21:27(9ヶ月前)
2019-11-20 09:48:23(20分前),001735,I-954,メイクスデザイン蒲田ウェスト,本番中,正常,3.0.20,100%,25.7℃,40%,曇,11℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030801192,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2019-04-25 10:16:41(6ヶ月前),2019-11-14 06:42:50(6日前),2019-11-14 09:40:41(6日前),2019-04-17 16:19:20(7ヶ月前)
2019-11-20 09:48:24(20分前),000262,H-821,リベルテ西葛西,本番中,正常,3.0.20,100%,26℃,20%,曇,11℃,50,良好,充電 67mAh,Huawei T3 10,868355032511775,正常,201909_mitsubachi-einekleine,4G:1本,表示,通常,0%,2019-11-17,,2018-11-28 10:39:09(11ヶ月前),2019-10-09 16:05:08(1ヶ月前),2019-11-09 21:32:43(1週間前),2018-10-16 15:27:18(1年前)
2019-11-20 09:48:24(20分前),000188,A-806,ファーストリアルタワー新宿,本番中,正常,3.0.26,100%,25℃,0%,曇,11℃,20,良好,充電 135mAh,Huawei T3 10,868355032512013,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-16,,2019-10-10 09:53:59(1ヶ月前),2019-11-19 06:49:33(1日前),2019-11-19 06:50:46(1日前),2018-09-20 14:28:33(1年前)
2019-11-20 09:48:25(19分前),001433,Y4-729,カツヤビル,本番中,正常,3.0.20,100%,22.7℃,40%,曇,13℃,50,良好,0,Lenovo TAB4 SIM,866423030799420,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-08-02 13:34:09(3ヶ月前),2019-11-06 04:19:17(2週間前),2019-11-06 04:20:11(2週間前),2019-04-10 13:31:43(7ヶ月前)
2019-11-20 09:48:25(20分前),000315,J-40,ウィンド浅草橋ビル,本番中,正常,3.0.20,100%,23℃,40%,曇,12℃,50,良好,充電 216mAh,Huawei T3 10,868355032511221,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2018-12-26 11:43:10(10ヶ月前),2019-11-04 01:27:17(2週間前),2019-11-19 07:30:51(1日前),2018-10-30 15:24:17(1年前)
2019-11-20 09:48:28(19分前),001877,AN3-202,万長ビル,本番中,正常,3.0.20,100%,22℃,40%,曇,9℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030790908,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-09-04 12:04:25(2ヶ月前),2019-11-19 10:31:08(23時間前),2019-11-19 10:32:02(23時間前),2019-05-14 10:09:03(6ヶ月前)
2019-11-20 09:48:28(19分前),000169,ST4-986,ハイマート浦和元町,本番中,正常,3.0.20,100%,23℃,40%,曇,10℃,50,良好,充電 253mAh,Huawei T3 10,868355033798405,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,1%,2019-11-17,,2018-09-21 10:12:06(1年前),2019-11-16 16:56:57(3日前),2019-11-20 09:30:33(37分前),2018-09-12 11:23:20(1年前)
2019-11-20 09:48:30(19分前),000748,Y-755,金沢八景ハイム,本番中,正常,3.0.20,100%,22.5℃,20%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030633868,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-03-15 15:11:26(8ヶ月前),2019-10-15 15:02:02(1ヶ月前),2019-11-08 16:54:06(1週間前),2019-02-04 11:41:53(9ヶ月前)
2019-11-20 09:48:31(19分前),001653,S-10,シャトーサンライズ,本番中,正常,3.0.20,100%,25℃,40%,曇,11℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030805516,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,65%,2019-11-17,,2019-09-05 08:37:05(2ヶ月前),2019-11-09 15:14:06(1週間前),2019-11-09 15:14:59(1週間前),2019-04-16 16:52:20(7ヶ月前)
2019-11-20 09:48:31(19分前),001402,M-857,八広スカイハイツ,本番中,正常,3.0.20,100%,21.2℃,20%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030669573,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-07-31 14:48:54(3ヶ月前),2019-11-01 08:10:55(2週間前),2019-11-01 08:11:52(2週間前),2019-04-10 10:35:13(7ヶ月前)
2019-11-20 09:48:32(19分前),001162,AN-448,ラヴィ・アン・ローズ,本番中,正常,3.0.20,100%,20℃,40%,曇,10℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030609710,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-06-06 15:19:40(5ヶ月前),2019-11-07 05:23:34(1週間前),2019-11-07 05:24:24(1週間前),2019-03-19 14:40:33(8ヶ月前)
2019-11-20 09:48:33(19分前),001664,HK1-081,サーム菊水弐番館,本番中,正常,3.0.20,100%,13℃,40%,曇,-1℃,50,不明,0,Lenovo TAB4 SIM,866423030676586,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-05-27 09:40:14(5ヶ月前),2019-09-26 13:53:12(1ヶ月前),2019-10-29 03:44:03(3週間前),2019-04-17 08:59:39(7ヶ月前)
2019-11-20 09:48:34(19分前),0062,Z5-229,グラン・リーヴェル川崎WEST,本番中,正常,3.0.20,100%,24℃,20%,曇,11℃,50,良好,充電 294mAh,Huawei T3 10,868355032511965,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2018-11-13 10:35:59(1年前),2019-11-15 18:30:24(4日前),2019-11-15 18:31:34(4日前),2018-08-02 15:36:24(1年前)
2019-11-20 09:48:35(19分前),000407,K-25,ギャラリービル,本番中,正常,3.0.20,100%,25℃,20%,曇,12℃,50,良好,充電 251mAh,Huawei T3 10,868355037431672,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2018-11-29 14:57:41(11ヶ月前),2019-09-30 00:30:27(1ヶ月前),2019-11-17 05:25:16(3日前),2018-11-26 16:56:04(11ヶ月前)
2019-11-20 09:48:35(19分前),002107,Z5-986,プレジールワタナベ,本番中,正常,3.0.20,100%,24.5℃,20%,曇,14℃,50,良好,0,Lenovo TAB4 SIM,866423030791245,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-08-01 10:57:35(3ヶ月前),2019-11-13 21:07:40(6日前),2019-11-13 21:08:33(6日前),2019-06-27 11:56:19(4ヶ月前)
2019-11-20 09:48:35(19分前),0082,B-90,スピリットビル,本番中,正常,3.0.20,100%,29℃,0%,曇,12℃,50,良好,充電 295mAh,Huawei T3 10,868355032408584,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2018-08-22 13:55:40(1年前),2019-11-14 12:51:32(5日前),2019-11-14 12:52:43(5日前),2018-08-07 17:56:58(1年前)
2019-11-20 09:48:35(19分前),000545,HK3-178,アサヒ平和ビル,本番中,正常,3.0.20,100%,15.5℃,40%,雪,-3℃,50,良好,0,Lenovo TAB4 SIM,866423030513185,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-01-11 11:36:01(10ヶ月前),2019-11-11 05:44:16(1週間前),2019-11-13 14:44:57(6日前),2018-12-13 15:57:39(11ヶ月前)
2019-11-20 09:48:36(19分前),000675,HK3-987,サザンミルフォード北大,本番中,正常,3.0.20,100%,15.2℃,0%,雪,-6℃,50,良好,流出 33mAh,Lenovo TAB4 SIM,866423030632092,正常,201909_mitsubachi-einekleine,3G:0本,表示,通常,0%,2019-11-17,,2019-02-06 14:15:38(9ヶ月前),2019-10-13 16:35:28(1ヶ月前),2019-10-18 08:25:25(1ヶ月前),2019-01-30 10:14:43(9ヶ月前)
2019-11-20 09:48:36(19分前),000457,G-839,プロヴァンス目白,本番中,正常,3.0.20,100%,25℃,20%,曇,11℃,50,良好,充電 288mAh,Huawei T3 10,868355036542115,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-02-01 16:23:55(9ヶ月前),2019-11-18 12:30:19(1日前),2019-11-18 12:31:31(1日前),2018-11-30 09:56:50(11ヶ月前)
2019-11-20 09:48:36(19分前),002037,AN-242,四季彩豊田,本番中,正常,3.0.20,100%,27.2℃,0%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030758004,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-08-01 13:50:37(3ヶ月前),2019-11-14 09:53:19(6日前),2019-11-14 09:54:11(6日前),2019-06-20 16:29:35(4ヶ月前)
2019-11-20 09:48:37(19分前),000897,HK5-806,ラパルク緑ヶ丘,本番中,正常,3.0.20,100%,12.2℃,20%,雪,-4℃,50,不明,0,Lenovo TAB4 SIM,866423030627977,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-03-18 14:46:50(8ヶ月前),2019-11-16 23:22:12(3日前),2019-11-16 23:23:06(3日前),2019-02-13 14:26:45(9ヶ月前)
2019-11-20 09:48:38(19分前),001196,AN1-946,グランメールKAZU,本番中,正常,3.0.20,100%,19.5℃,40%,雨,10℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030674813,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-06-05 10:52:10(5ヶ月前),2019-09-28 08:21:03(1ヶ月前),2019-10-10 01:22:15(1ヶ月前),2019-03-19 15:37:32(8ヶ月前)
2019-11-20 09:48:38(19分前),010071,X2-351,ワールドウィング(2054-49331),本番中,正常,3.0.20,100%,21.5℃,40%,晴,11℃,50,良好,流出 7mAh,Lenovo TAB4 SIM,866423030747809,不正,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-10-02 10:55:02(1ヶ月前),2019-10-20 09:21:30(1ヶ月前),2019-11-04 13:33:37(2週間前),2019-07-16 10:19:25(4ヶ月前)
2019-11-20 09:48:39(19分前),000565,T-798,株式会社三王 本社ビル,本番中,正常,3.0.20,100%,27℃,0%,曇,13℃,50,良好,流出 849mAh,Huawei T3 10,868355037428876,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-01-11 16:33:31(10ヶ月前),2019-11-09 05:58:34(1週間前),2019-11-19 18:16:43(15時間前),2018-12-28 10:37:41(10ヶ月前)
2019-11-20 09:48:40(19分前),010113,AN2-129,上林記念病院,本番中,正常,3.0.20,100%,28.5℃,0%,曇,9℃,50,良好,流出 3mAh,Lenovo TAB4 SIM,866423030746173,未取得,sample_channel,4G:3本,表示,通常,74%,2019-11-17,,2019-10-18 16:44:17(1ヶ月前),2019-11-12 00:29:31(1週間前),2019-11-18 14:20:33(1日前),2019-07-16 16:40:40(4ヶ月前)
2019-11-20 09:48:40(19分前),001871,X4-562,ルミナス(Luminous),本番中,正常,3.0.20,100%,24.7℃,40%,曇,12℃,50,良好,流出 4mAh,Lenovo TAB4 SIM,866423030796194,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-09-30 14:48:17(1ヶ月前),2019-11-18 12:40:37(1日前),2019-11-18 12:41:32(1日前),2019-05-14 09:46:01(6ヶ月前)
2019-11-20 09:48:40(19分前),000434,Z6-246,エルメゾン,本番中,正常,3.0.20,100%,23℃,40%,曇,14℃,50,良好,充電 187mAh,Huawei T3 10,868355036542198,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2018-12-26 13:41:44(10ヶ月前),2019-11-13 07:10:20(1週間前),2019-11-13 09:59:22(1週間前),2018-11-29 11:02:59(11ヶ月前)
2019-11-20 09:48:40(19分前),001996,ST2-229,DAIKAN-M19,本番中,正常,3.0.20,100%,24℃,40%,晴,11℃,50,良好,0,Lenovo TAB4 SIM,866423030790668,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,54%,2019-11-17,,2019-09-10 12:21:15(2ヶ月前),2019-11-15 06:03:04(5日前),2019-11-15 06:03:57(5日前),2019-06-17 13:46:20(5ヶ月前)
2019-11-20 09:48:41(19分前),002108,OS1-442,グランドール南千里,本番中,正常,3.0.20,100%,21.2℃,40%,曇,11℃,50,良好,0,Lenovo TAB4 SIM,866423030790536,正常,201909_mitsubachi-einekleine,4G:2本,表示,通常,0%,2019-11-17,,2019-07-31 15:39:14(3ヶ月前),2019-11-06 04:31:26(2週間前),2019-11-06 04:32:11(2週間前),2019-06-27 13:06:08(4ヶ月前)
2019-11-20 09:48:41(19分前),001221,AN2-849,First KH BLDG.,本番中,正常,3.0.20,100%,25℃,0%,曇,12℃,50,良好,0,Lenovo TAB4 SIM,866423030610072,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,0%,2019-11-17,,2019-07-23 13:23:15(3ヶ月前),2019-10-16 21:23:59(1ヶ月前),2019-10-16 21:24:48(1ヶ月前),2019-03-19 16:08:32(8ヶ月前)
2019-11-20 09:48:43(19分前),010494,Z3-404,特別養護老人ホーム和喜園,本番中,正常,3.0.20,100%,26.7℃,40%,曇,12℃,50,良好,流出 5mAh,Lenovo TAB4 SIM,866423030760323,不正,sample_channel,3G:0本,表示,通常,5%,2019-11-17,,2019-11-01 14:00:22(2週間前),2019-11-20 09:15:00(53分前),2019-11-20 09:15:52(52分前),2019-10-17 09:16:40(1ヶ月前)
2019-11-20 09:48:43(19分前),002091,IB-734,ワイズコートビル,本番中,正常,3.0.20,100%,22℃,40%,曇,11℃,50,良好,流出 1mAh,Lenovo TAB4 SIM,866423030794421,正常,201909_mitsubachi-einekleine,4G:4本,表示,通常,66%,2019-11-17,,2019-09-30 14:57:28(1ヶ月前),2019-10-30 21:04:03(2週間前),2019-10-30 21:04:49(2週間前),2019-06-24 15:49:33(4ヶ月前)
2019-11-20 09:48:43(19分前),000721,OS-473,ニューシティアパートメンツ美章園,本番中,正常,3.0.20,100%,24.5℃,20%,曇,9℃,50,良好,0,Lenovo TAB4 SIM,866423030634007,正常,201909_mitsubachi-einekleine,4G:3本,表示,通常,0%,2019-11-17,,2019-02-08 14:29:26(9ヶ月前),2019-11-17 12:17:51(2日前),2019-11-17 12:18:38(2日前),2019-02-01 13:38:14(9ヶ月前)
